"test.y","X1"
"LUAD","BRCA"
"LUAD","LUAD"
"LUSC","UCEC"
"LUSC","BLCA"
"LUSC","LUSC"
"LUSC","BRCA"
"LUAD","UCEC"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","STAD"
"LUAD","KIRP"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","GBM"
"LUAD","PAAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","CESC"
"LUAD","LUAD"
"LUAD","PAAD"
"LUAD","KIRP"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUSC"
"LUAD","LUSC"
"LUAD","LUSC"
"LUAD","SKCM"
"LUAD","PAAD"
"LUAD","LUAD"
"LUAD","LUSC"
"LUAD","UCEC"
"LUAD","LIHC"
"LUAD","PAAD"
"LUAD","HNSC"
"LUSC","OV"
"LUSC","UCEC"
"LUSC","COAD"
"LUSC","LUSC"
"LUSC","HNSC"
"LUSC","OV"
"LUSC","BRCA"
"LUSC","LUSC"
"OV","UCEC"
"OV","OV"
"LUSC","LUSC"
"OV","OV"
"COAD","COAD"
"COAD","COAD"
"KIRP","KIRC"
"KIRP","PRAD"
"KIRP","CESC"
"KIRP","PRAD"
"BRCA","PRAD"
"THYM","THYM"
"LUSC","HNSC"
"LUSC","GBM"
"LUSC","LUSC"
"LUSC","HNSC"
"OV","OV"
"OV","BRCA"
"OV","BRCA"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","OV"
"OV","HNSC"
"OV","SKCM"
"OV","LUSC"
"OV","BRCA"
"OV","OV"
"OV","OV"
"OV","UCEC"
"OV","OV"
"OV","OV"
"LUAD","BRCA"
"LUAD","PRAD"
"LUAD","LUAD"
"LUAD","LUSC"
"LUAD","GBM"
"LUAD","LUAD"
"LUAD","THCA"
"LUAD","LUAD"
"LUSC","STAD"
"LUSC","UVM"
"LUSC","ESCA"
"LUSC","BRCA"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","OV"
"LUAD","LUAD"
"LUAD","LUSC"
"LUAD","BLCA"
"LUAD","PAAD"
"LUSC","COAD"
"LUSC","LUSC"
"LUSC","LUAD"
"LUSC","BRCA"
"LUSC","BRCA"
"LUSC","GBM"
"LUSC","HNSC"
"LUSC","LUSC"
"LUSC","HNSC"
"LUSC","LUSC"
"LUAD","GBM"
"LUAD","SKCM"
"LUAD","GBM"
"LUSC","LUSC"
"LUSC","LUSC"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUSC"
"LUAD","SKCM"
"LUAD","COAD"
"LUAD","LUSC"
"LUSC","LUSC"
"LUAD","KIRC"
"LUAD","LUAD"
"LUAD","BRCA"
"LUAD","LUAD"
"LUAD","LUAD"
"GBM","KIRC"
"LUAD","KIRP"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","THYM"
"LUAD","GBM"
"LUAD","LUAD"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","GBM"
"GBM","BRCA"
"GBM","GBM"
"LUSC","LUSC"
"LUSC","HNSC"
"LUSC","GBM"
"LUSC","HNSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","OV"
"LUSC","BRCA"
"LUSC","GBM"
"LUSC","HNSC"
"LUSC","LUSC"
"LUSC","HNSC"
"LUSC","HNSC"
"LUSC","LUAD"
"LUSC","COAD"
"LUAD","LUSC"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LIHC"
"LUAD","LUAD"
"LUAD","THCA"
"LUAD","LUAD"
"LUAD","LUAD"
"LUSC","LUSC"
"LUSC","BRCA"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","BRCA"
"LUSC","LUSC"
"LUSC","PRAD"
"LUSC","BLCA"
"LUSC","LUSC"
"LUSC","BRCA"
"LUSC","LUSC"
"LUSC","OV"
"LUSC","OV"
"LUSC","LUAD"
"LUSC","LGG"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUSC","LUSC"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","LUAD"
"LUAD","GBM"
"LUSC","BRCA"
"LUSC","LUAD"
"LUSC","HNSC"
"LUAD","LUAD"
"LUAD","OV"
"LUAD","LGG"
"LUAD","LUAD"
"LUAD","LIHC"
"LUAD","PRAD"
"LUAD","THCA"
"LUSC","LUSC"
"LUAD","PAAD"
"LUAD","LUSC"
"LUAD","LUAD"
"LUSC","UCEC"
"LUSC","BRCA"
"LUSC","LUSC"
"LUSC","HNSC"
"LUAD","STAD"
"LUAD","BRCA"
"LUAD","LUAD"
"LUSC","CESC"
"LUAD","HNSC"
"LUAD","LUAD"
"LUAD","OV"
"LUAD","LUSC"
"LUAD","GBM"
"LUAD","LUAD"
"LUAD","LUAD"
"LUSC","LUSC"
"LUAD","LUSC"
"LUAD","LUAD"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","STAD"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","LUSC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","LUAD"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","PRAD"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","PRAD"
"BRCA","BRCA"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","LUSC"
"KIRC","KIRC"
"KIRC","LIHC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRP","BRCA"
"KIRP","KIRP"
"KIRP","BRCA"
"KIRP","KIRP"
"KIRP","CESC"
"KIRP","CESC"
"KIRP","HNSC"
"KIRP","PRAD"
"KIRP","GBM"
"UCEC","UCS"
"UCEC","UCEC"
"UCEC","STAD"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","BRCA"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","LUSC"
"UCEC","UCEC"
"UCEC","UCEC"
"COAD","COAD"
"COAD","COAD"
"COAD","UCEC"
"COAD","COAD"
"COAD","COAD"
"COAD","READ"
"COAD","READ"
"COAD","KIRC"
"COAD","COAD"
"BRCA","HNSC"
"BRCA","HNSC"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","HNSC"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","UCEC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","STAD"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","STAD"
"BRCA","OV"
"BRCA","LUAD"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","UCEC"
"BRCA","BRCA"
"COAD","COAD"
"COAD","COAD"
"COAD","PRAD"
"COAD","COAD"
"COAD","PRAD"
"COAD","BRCA"
"COAD","PRAD"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"COAD","OV"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"COAD","UCEC"
"COAD","UCEC"
"COAD","READ"
"COAD","COAD"
"COAD","COAD"
"COAD","UCEC"
"COAD","HNSC"
"COAD","SKCM"
"COAD","KIRP"
"COAD","COAD"
"COAD","COAD"
"COAD","LUAD"
"COAD","COAD"
"COAD","LUAD"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"COAD","LUAD"
"COAD","COAD"
"LAML","PRAD"
"LAML","LGG"
"LAML","BRCA"
"LAML","LAML"
"LAML","LGG"
"LAML","LAML"
"LAML","KIRP"
"LAML","PRAD"
"LAML","TGCT"
"LAML","PRAD"
"LAML","COAD"
"LAML","PRAD"
"LAML","LIHC"
"LAML","PRAD"
"LAML","BRCA"
"LAML","LGG"
"LAML","LAML"
"LAML","LAML"
"LAML","PRAD"
"LAML","KIRC"
"LAML","CESC"
"LAML","PAAD"
"LAML","LAML"
"LAML","BRCA"
"LAML","LGG"
"LAML","PRAD"
"LAML","LAML"
"LAML","BRCA"
"LAML","PAAD"
"LAML","LAML"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","SARC"
"BRCA","BRCA"
"BRCA","UCEC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","STAD"
"BRCA","BRCA"
"BRCA","BRCA"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"READ","COAD"
"READ","KIRP"
"READ","COAD"
"READ","HNSC"
"READ","COAD"
"READ","COAD"
"READ","COAD"
"READ","PRAD"
"READ","KIRP"
"READ","COAD"
"READ","HNSC"
"READ","COAD"
"READ","COAD"
"READ","LUAD"
"READ","READ"
"READ","COAD"
"READ","COAD"
"READ","COAD"
"READ","COAD"
"READ","SKCM"
"READ","COAD"
"READ","READ"
"READ","COAD"
"READ","COAD"
"READ","COAD"
"READ","COAD"
"READ","READ"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","LUSC"
"UCEC","UCEC"
"UCEC","LUSC"
"UCEC","UCS"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRP"
"KIRP","THCA"
"KIRP","KIRP"
"KIRP","KIRC"
"COAD","PAAD"
"BRCA","BRCA"
"BRCA","PRAD"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","THCA"
"BRCA","STAD"
"BRCA","OV"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","UCEC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","GBM"
"BRCA","CESC"
"UCEC","BLCA"
"UCEC","UCEC"
"UCEC","PRAD"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","OV"
"BRCA","GBM"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","COAD"
"BRCA","GBM"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","HNSC"
"BRCA","BRCA"
"KIRC","KIRC"
"COAD","COAD"
"UCEC","UVM"
"UCEC","UCEC"
"UCEC","BRCA"
"UCEC","UCEC"
"UCEC","LUSC"
"UCEC","HNSC"
"UCEC","UCEC"
"UCEC","OV"
"UCEC","UCEC"
"UCEC","GBM"
"UCEC","OV"
"UCEC","UCEC"
"UCEC","BLCA"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"COAD","OV"
"COAD","COAD"
"COAD","UCEC"
"COAD","COAD"
"COAD","OV"
"COAD","OV"
"COAD","COAD"
"COAD","COAD"
"COAD","COAD"
"COAD","PAAD"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","MESO"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","HNSC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","BLCA"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","OV"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","GBM"
"KIRP","PRAD"
"KIRP","OV"
"KIRP","GBM"
"KIRC","KIRC"
"KIRC","PRAD"
"KIRC","PRAD"
"KIRC","KIRC"
"KIRC","TGCT"
"KIRP","BRCA"
"KIRP","PRAD"
"KIRP","BLCA"
"KIRC","KIRC"
"KIRC","HNSC"
"UCEC","UCEC"
"UCEC","GBM"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","BRCA"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCS"
"UCEC","BRCA"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"BRCA","OV"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","HNSC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","KIRP"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","COAD"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"STAD","UCEC"
"STAD","LUAD"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","HNSC"
"KIRC","BRCA"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRP","BRCA"
"KIRP","PRAD"
"KIRP","LUAD"
"KIRP","KIRP"
"KIRP","BRCA"
"HNSC","LUSC"
"HNSC","BRCA"
"HNSC","HNSC"
"HNSC","LUSC"
"HNSC","BLCA"
"HNSC","HNSC"
"HNSC","PRAD"
"HNSC","OV"
"HNSC","HNSC"
"HNSC","OV"
"HNSC","HNSC"
"HNSC","THCA"
"HNSC","LIHC"
"HNSC","HNSC"
"LIHC","LIHC"
"LIHC","OV"
"LIHC","BLCA"
"LIHC","OV"
"LIHC","OV"
"SKCM","SKCM"
"SKCM","SKCM"
"SKCM","SKCM"
"SKCM","SKCM"
"SKCM","SKCM"
"SKCM","THCA"
"SKCM","BLCA"
"SKCM","THCA"
"SKCM","SKCM"
"SKCM","SKCM"
"UCEC","GBM"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","BRCA"
"UCEC","KIRC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","LUAD"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","OV"
"BRCA","PRAD"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","LGG"
"BRCA","OV"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","GBM"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","CESC"
"BRCA","STAD"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","HNSC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","LIHC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","GBM"
"BRCA","HNSC"
"BRCA","HNSC"
"BRCA","PRAD"
"BRCA","BRCA"
"BRCA","UCEC"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","BLCA"
"BRCA","LGG"
"BRCA","BRCA"
"BRCA","BRCA"
"BRCA","LUAD"
"BRCA","PRAD"
"THCA","THCA"
"THCA","PCPG"
"THCA","THCA"
"THCA","KIRP"
"THCA","THCA"
"THCA","PRAD"
"THCA","THCA"
"THCA","THCA"
"THCA","PCPG"
"THCA","THCA"
"THCA","THCA"
"THCA","THCA"
"THCA","THCA"
"UCEC","UCEC"
"UCEC","UCS"
"UCEC","UCEC"
"BLCA","OV"
"KIRC","KIRP"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","BRCA"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","BRCA"
"KIRC","BRCA"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","PRAD"
"KIRC","BRCA"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","BLCA"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRC"
"KIRC","KIRP"
"KIRP","MESO"
"KIRP","BRCA"
"KIRP","BLCA"
"KIRP","KIRP"
"KIRP","LIHC"
"KIRP","KIRP"
"KIRP","CESC"
"KIRP","LUSC"
"KIRP","LIHC"
"KIRP","KIRC"
"KIRP","BRCA"
"STAD","BRCA"
"STAD","COAD"
"STAD","CESC"
"STAD","BRCA"
"STAD","LUAD"
"STAD","SKCM"
"STAD","THYM"
"STAD","COAD"
"STAD","UCEC"
"STAD","BRCA"
"STAD","BRCA"
"STAD","COAD"
"STAD","COAD"
"STAD","GBM"
"STAD","OV"
"STAD","LUSC"
"STAD","BRCA"
"STAD","BRCA"
"STAD","BRCA"
"STAD","BRCA"
"STAD","LUAD"
"STAD","UCEC"
"STAD","LUAD"
"STAD","BRCA"
"STAD","STAD"
"STAD","UCEC"
"STAD","OV"
"STAD","LUAD"
"STAD","OV"
"STAD","LUSC"
"STAD","BRCA"
"STAD","BRCA"
"STAD","LIHC"
"STAD","OV"
"STAD","LUAD"
"STAD","HNSC"
"STAD","STAD"
"STAD","STAD"
"STAD","BRCA"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"UCEC","UCEC"
"BLCA","BLCA"
"BLCA","OV"
"BLCA","KIRC"
"BLCA","BLCA"
"BLCA","LUSC"
"BLCA","GBM"
"LIHC","BRCA"
"BLCA","BRCA"
"BLCA","CESC"
"CESC","SARC"
"CESC","BRCA"
"CESC","CESC"
"CESC","KIRC"
"CESC","LUAD"
"CESC","STAD"
"CESC","UVM"
"CESC","BRCA"
"CESC","THYM"
"CESC","PRAD"
"CESC","CESC"
"CESC","UCEC"
"CESC","CESC"
"CESC","GBM"
"CESC","LUAD"
"CESC","HNSC"
"CESC","CESC"
"CESC","CESC"
